Food_Name,Category,Quantity,Calorie,Protein,Carbohydrate,Fat,Diabetes_Type1,Diabates_Type2,Dyslipidemia_HighColestrol,Dyslipidemia_LowColestrol,CKD
Broccoli Frozen Chopped Cooked Boiled Drained Without Salt,Vegetables,100 g,28,3.1,5.35,0.12,null,yes,null,null,null
Broccoli Frozen Spears Unprepared,Vegetables,100 g,29,3.06,5.35,0.34,null,yes,null,null,null
Kale,Vegetables,100 g,35,2.92,4.42,1.49,null,yes,null,null,null
Cooked Kale,Vegetables,100 g,36,2.94,5.3,1.21,null,yes,null,null,null
Kale Frozen Unprepared,Vegetables,100 g,28,2.66,4.88,0.46,null,yes,null,null,null
Milllet,Seeds,100 g,119,3.5,24,1,null,yes,null,null,null
Cooked Bulgur,Grains and Pasta,100 g,83,3.08,18.58,0.24,null,yes,null,null,null
Bulgur Dry,Grains and Pasta,100 g,342,12.29,75.87,1.33,null,yes,null,null,null
Cooked Trout,Fish,100 g,150,22.92,0,5.82,null,yes,null,null,null
Trout Steamed Or Poached,Fish,100 g,177,25.08,0,7.77,null,yes,null,null,null
Trout Smoked,Fish,100 g,251,35.47,0,10.99,null,yes,null,null,null
Cooked Red Kidney Beans,Beans and Lentils,100 g,127,8.67,22.8,0.5,null,yes,null,null,null
Canned Red Kidney Beans,Beans and Lentils,100 g,81,5.22,14.83,0.36,null,yes,null,null,null
Boiled Red Kidney Beans,Beans and Lentils,100 g,123,9.49,21.85,0.17,null,yes,null,null,null
Pinto Beans (Cooked),Beans and Lentils,100 g,143,9.01,26.22,0.65,null,yes,null,null,null
Navy Beans,Beans and Lentils,100 g,113,7.5,20,0.4,null,yes,null,null,null
Oranges,Fruits,100 g,47,0.94,11.75,0.12,null,yes,null,null,null
Orange Juice,Juices,100 g,45,0.7,10.4,0.2,null,yes,null,null,null
Canned Orange Juice,Juices,100 g,47,0.68,11.01,0.15,null,yes,null,null,null
Orange Peel Raw,Fruits,100 g,97,1.5,25,0.2,null,yes,null,null,null
Lemons,Fruits,100 g,29,1.1,9.32,0.3,null,yes,null,null,null
Lemon Juice Raw,Fruits,100 g,22,0.35,6.9,0.24,null,yes,null,null,null
Lemon Juice From Concentrate Canned Or Bottled,Juices,100 g,17,0.45,5.62,0.07,null,yes,null,null,null
Lemon Peel Raw,Fruits,100 g,47,1.5,16,0.3,null,yes,null,null,null
Red Lentils,Beans and Lentils,100 g,230,17.9,39.9,0.8,null,yes,null,null,null
Green Lentils,Beans and Lentils,100 g,230,17.9,39.9,0.8,null,yes,null,null,null
"Asparagus, raw",Vegetables,100 g,20,2.2,3.9,0.1,null,yes,null,null,null
"Asparagus, cooked",Vegetables,100 g,18,3,1.9,0.4,null,yes,null,null,null
Red Onion,Vegetables,100 g,40,1.1,9.3,0.1,null,yes,null,null,null
"Squash, raw, baby, zucchini",Vegetables,100 g,21,2.7,3.1,0.4,null,yes,null,null,null
"Squash, canned, italian style, zucchini, summer",Vegetables,100 g,29,1,6.9,0.1,null,yes,null,null,null
"Squash, with salt, drained, boiled, cooked, frozen, includes skin, zucchini, summer",Vegetables,100 g,14,1.2,3,0.1,null,yes,null,null,null
"Edamame, prepared, Frozen",Beans and Lentils,100 g,121,12,8.9,5.2,null,yes,null,null,null
Carrots (raw),Vegetables,100 g,41,0.9,9.6,0.2,null,yes,null,null,null
"Carrot Juice, Canned",Juices,100 g,40,1,9.3,0.2,null,yes,null,null,null
"Carrots, with salt, drained, boiled, cooked",Vegetables,100 g,35,0.8,8.2,0.2,null,yes,null,null,null
Bok Choy,Vegetables,100 g,12,1.6,1.8,0.2,null,yes,null,null,null
Bitter Melon,Vegetables,100 g,17,1,3.7,0.17,null,yes,null,null,null
Bitter Melon (Cooked),Vegetables,100 g,19,0.84,4.32,0.18,null,yes,null,null,null
Bitter Melon Cooked Ns As To Fat Added In Cooking,Vegetables,100 g,49,0.8,4.14,3.68,null,yes,null,null,null
Bitter Melon Cooked Fat Not Added In Cooking,Vegetables,100 g,19,0.83,4.28,0.18,null,yes,null,null,null
Bitter Melon Cooked Fat Added In Cooking,Vegetables,100 g,49,0.8,4.14,3.68,null,yes,null,null,null
"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",Beans and Lentils,100 g,378,20,63,6,null,yes,null,null,null
"Chickpeas (garbanzo beans, bengal gram), with salt, boiled, cooked, mature seeds",Beans and Lentils,100 g,164,8.9,27,2.6,null,yes,null,null,null
"Chickpeas (garbanzo beans, bengal gram), without salt, boiled, cooked, mature seeds",Beans and Lentils,100 g,164,8.9,27,2.6,null,yes,null,null,null
"Chickpeas (garbanzo beans, bengal gram), solids and liquids, canned, mature seeds",Beans and Lentils,100 g,88,4.9,13,2,null,yes,null,null,null
Cooked Wild Rice,Grains and Pasta,100 g,101,3.99,21.34,0.34,null,yes,null,null,null
